Text,Label
Win a FREE iPhone now,spam
Meeting tomorrow at 10am,ham
Lowest prices and free discounts,spam
Let’s have lunch today,ham
You won a lottery prize,spam
Are you available for the call?,ham
Congratulations! You won a cash prize,spam
Reminder: project meeting at 3pm,ham
Limited offer only today,spam
Let’s catch up later,ham
Exclusive deal just for you,spam
Join our webinar about Python,ham
Claim your free reward,spam
Your account has been updated,ham
Special offer on electronics,spam
Coffee break at 4pm,ham
Urgent! Verify your account,spam
Team meeting rescheduled,ham
Earn money easily online,spam
See you at the event,ham
Your subscription will expire soon,spam
Family dinner on Sunday?,ham
Free access to premium content,spam
Don’t forget to send the report,ham
Get 70% OFF on all items,spam
Can we move the lesson to Friday?,ham
Your bank account needs verification,spam
Let’s work on the presentation,ham
Hot deal! Buy 1 get 1 free,spam
Call me when you are free,ham
Limited seats for this workshop,spam
Here is the document you asked,ham
You have been selected for a prize,spam
Do you want to join our study group?,ham
Get rich fast with this method,spam
I will be late to the meeting,ham
Unlock your bonus balance now,spam
Dinner tonight or tomorrow?,ham
Win a brand new MacBook,spam
Your package has been shipped,ham
Click here to confirm your password,spam
Happy birthday! Let’s celebrate,ham
Special discount for loyal customers,spam
Can you review my code?,ham
100% guaranteed income per day,spam
Let’s schedule the interview,ham
Urgent notice about your account,spam
Thanks for your help today,ham
Act now! Offer ends tonight,spam
Movie night this weekend?,ham
Get free delivery on all orders,spam
Reminder: pay the invoice,ham
This investment will change your life,spam
Our call is moved to 11:30,ham
Your OTP code is 452193,ham
Win cash every day! Join now,spam
Team lunch on Wednesday,ham
Earn $500 per day from home,spam
Report is ready please check,ham
Exclusive VIP promo just for you,spam
Can you send me the slides?,ham
Security alert: unusual login attempt,ham
Claim your coupon before it expires,spam
We are starting the lesson in 5 minutes,ham
Free gift card for the first 100 users,spam
Let’s finalize the project today,ham
Limited-time crypto bonus,spam
Meeting link: https://example.com,ham
Your order is ready for pickup,ham
Free membership for 30 days,spam
How was the presentation?,ham
Biggest sale of the year! 90% OFF,spam
Don’t forget the exam tomorrow,ham
Get free followers on Instagram,spam
Send me your phone number,ham
Your email won our monthly draw,spam
Can we meet at the office?,ham
Only today: free shipping worldwide,spam
Practice session starts at 6pm,ham
Lottery confirmed! Claim your reward,spam
I updated the GitHub repo,ham
Win a trip to Dubai for two,spam
Please review the attached file,ham
Final warning: your account will be closed,spam
Shall we plan next week’s lesson?,ham
Boost your income with zero effort,spam
See you at 14:00 in Zoom,ham
Get your FREE antivirus now,spam
Thanks I received the files,ham
Your phone number was selected,spam
Can you translate this text?,ham
Premium access unlocked! Tap to get,spam
Will you join the webinar tonight?,ham
Let's meet at the café after work,ham
Claim your special crypto reward now,spam
Don't miss out on our limited promo,spam
Submit the assignment before deadline,ham
New offer: free smartwatch for members,spam
Lunch break at 1pm,ham
Upgrade your account to premium,spam
See you tomorrow in class,ham
Download your free movie voucher,spam